qweek,i2_health,i11_health,age,gender,household_size,WCRex2,cantril_ladder,PHQ4_1,PHQ4_2,PHQ4_3,PHQ4_4,WCRex1,r1_1,r1_2,C1M_School closing,C2M_Workplace closing,C3M_Cancel public events,C4M_Restrictions on gatherings,C5M_Close public transport,C6M_Stay at home requirements,C7M_Restrictions on internal movement,C8EV_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6M_Facial Coverings,H7_Vaccination policy,H8M_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,i9_health_No,i9_health_Not sure,i9_health_Yes,state_Australian Capital Territory,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,employment_status_Full time employment,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
48,0.0,1.0,39,0,4,1.0,7.0,3,3,3,3,1.0,2,1,1.0,1.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,3.0,11078.0,6.0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
43,50.0,1.0,68,1,2,3.0,8.0,4,4,4,4,3.0,5,3,2.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,72202.0,540.0,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
39,20.0,1.0,74,1,2,3.0,7.0,4,4,4,4,3.0,7,6,1.0,1.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,3.0,5.0,2.0,870.0,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
52,2.0,2.0,67,1,1,3.0,7.0,4,4,4,4,2.0,4,4,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,5.0,2.0,139136.0,169.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
43,14.0,1.0,77,0,2,3.0,7.0,3,4,3,4,4.0,7,3,1.0,1.0,1.0,3.0,1.0,0.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,5.0,2.0,916.0,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
50,4.0,1.0,85,0,2,3.0,8.0,3,4,4,4,3.0,7,3,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,2.0,1442.0,9.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
50,12.0,5.0,70,1,2,2.0,9.0,4,4,3,3,3.0,3,3,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,2.0,27983.0,17.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
47,50.0,1.0,42,1,3,3.0,6.0,3,2,3,1,3.0,6,6,1.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,5.0,3.0,1145.0,4.0,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False
43,10.0,3.0,43,0,5,3.0,5.0,3,3,3,3,3.0,4,4,1.0,1.0,1.0,3.0,1.0,0.0,2.0,3.0,2.0,0.0,2.0,2.0,2.0,3.0,5.0,2.0,2082.0,7.0,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
42,0.0,1.0,47,1,2,3.0,2.0,2,3,4,4,2.0,6,4,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,4.0,5.0,3.0,45664.0,888.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True
47,150.0,1.0,69,0,2,3.0,5.0,2,2,1,1,3.0,5,5,1.0,1.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1125.0,9.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True
40,20.0,1.0,34,0,2,3.0,8.0,3,3,3,4,2.0,3,6,3.0,3.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,26036.0,826.0,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False
41,2.0,1.0,44,1,2,1.0,2.0,1,1,1,1,1.0,5,4,3.0,3.0,2.0,4.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,3.0,54919.0,314.0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
44,10.0,1.0,73,0,2,4.0,9.0,3,4,4,4,4.0,4,4,1.0,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,75766.0,580.0,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
45,2.0,1.0,47,1,2,1.0,6.0,2,3,1,2,2.0,6,4,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,110662.0,1273.0,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True
44,4.0,2.0,42,0,1,3.0,8.0,3,4,4,3,3.0,5,6,1.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,1112.0,9.0,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False
