feature,importance,importance_std
i2_health,0.09984529685596043,0.003301819635932027
r1_1,0.05464576208846439,0.0035635727767310546
week_number,0.010602464861890249,0.0009893248864478305
r1_2,0.008707983075307586,0.000865543860915481
age,0.007548306126918336,0.0007337507623017513
i9_health_Yes,0.005537024870425599,0.0006904914230145995
i11_health_Very willing,0.0030204314841955683,0.00035716915540678223
cantril_ladder,0.0028649562282755947,0.0003056775621683027
household_size,0.0011650115395629933,0.0001690283545907148
PHQ4_1_Not at all,0.00042494230218492746,7.482459456497446e-05
gender_Male,0.00042402980632628707,7.769333734878174e-05
employment_status_Part time employment,0.00026307957525423806,5.702752465730516e-05
WCRex2_A lot of confidence,0.00025732383214570055,3.774436749498914e-05
WCRex1_Very well,0.00021489277471741785,3.092534697045408e-05
i9_health_Not sure,0.00019495824980486076,5.400263233377017e-05
WCRex1_Somewhat well,0.0001529834403059316,3.418535434701497e-05
PHQ4_4_Not at all,0.00014993008877881576,3.706668745342936e-05
d1_comorbidities_Yes,0.00014582385741480076,4.7360025854163984e-05
employment_status_Retired,0.00013266285945317535,3.316302220410855e-05
d1_comorbidities_No,0.0001248013566707784,3.303172661331927e-05
PHQ4_2_Not at all,0.00011086824682873253,2.4182617399618602e-05
PHQ4_3_Not at all,0.00011065767086132494,2.255039868906879e-05
PHQ4_3_Several days,8.587989869893731e-05,2.3408028617083167e-05
PHQ4_1_Several days,5.141563203673316e-05,1.2746901945082214e-05
employment_status_Unemployed,4.973102429766119e-05,1.6254068703938782e-05
PHQ4_1_Nearly every day,4.379980121627103e-05,2.282848096010264e-05
PHQ4_2_Several days,3.1726779086144184e-05,1.6551919957397263e-05
i11_health_Very unwilling,3.1516203118792105e-05,4.140137492932999e-06
PHQ4_3_Nearly every day,2.8813811537325984e-05,1.0976633493858509e-05
PHQ4_4_Several days,2.821717962972481e-05,1.1032876793343339e-05
i11_health_Somewhat willing,2.709410780364907e-05,9.117936686044157e-06
employment_status_Not working,2.3689796330922386e-05,5.680240912039362e-06
PHQ4_4_Nearly every day,2.1584036657051887e-05,7.270463735620711e-06
PHQ4_2_Nearly every day,1.3371573928988578e-05,6.593845321771257e-06
WCRex2_Not very much confidence,1.0142742429075646e-05,4.975592210363202e-06
WCRex1_Very badly,4.071135369465573e-06,2.0295076305537047e-06
WCRex1_Somewhat badly,3.7201754237825567e-06,2.1872436519732354e-06
WCRex2_No confidence at all,2.2461436521126197e-06,3.579103222631923e-07
d1_comorbidities_Prefer_not_to_say,7.019198913216229e-07,0.0
PHQ4_3_N/A,7.019198913216229e-07,0.0
WCRex2_Don't know,1.0528798369269232e-07,4.589396808856043e-07
PHQ4_4_Prefer not to say,0.0,0.0
PHQ4_1_N/A,0.0,0.0
PHQ4_4_N/A,0.0,0.0
PHQ4_3_Prefer not to say,0.0,0.0
i11_health_Not sure,0.0,0.0
PHQ4_2_Prefer not to say,0.0,0.0
PHQ4_2_N/A,0.0,0.0
PHQ4_1_Prefer not to say,0.0,0.0
i11_health_Somewhat unwilling,0.0,0.0
