feature,importance,importance_std
i2_health,0.12757749995446668,0.004075650426131848
r1_1,0.08257672974749246,0.003812988985540494
week_number,0.08250617631905269,0.0023721585523567125
i11_health_Very willing,0.04202249251324856,0.0020508095840788515
age,0.03054957277437189,0.0008999067144361155
r1_2,0.029033144830707174,0.0009696891936626647
i9_health_Yes,0.02415310418106617,0.0009851133848538473
cantril_ladder,0.01888640110835712,0.0008392882576641954
household_size,0.015277032181068673,0.0004996494185818834
i11_health_Somewhat willing,0.009759309548806827,0.00039698779149793394
gender_Male,0.008950854621041126,0.00027295739856978985
WCRex1_Somewhat well,0.007747001054828495,0.00036877625593797754
PHQ4_4_Not at all,0.007251923125009041,0.00042073792501288163
PHQ4_1_Not at all,0.006286895460841496,0.0003743492423831051
PHQ4_2_Not at all,0.006223828012010874,0.00030015329839403094
WCRex2_A lot of confidence,0.005781136504445722,0.0003810215713527327
employment_status_Part time employment,0.005711771571737684,0.0002963491159458759
employment_status_Retired,0.005711601786633169,0.0002488335112792979
d1_comorbidities_Yes,0.005286845760110887,0.00018983466106371375
i9_health_Not sure,0.0052711329204365,0.00037979132182567964
d1_comorbidities_No,0.00497502769812449,0.0002210848924452032
WCRex1_Very well,0.004880580874973617,0.0002440482433940814
WCRex1_Somewhat badly,0.004473621414408646,0.00019964774242149874
PHQ4_3_Not at all,0.004472556398752936,0.00031074755781881176
PHQ4_3_Several days,0.004114711138427579,0.00022971866670414319
PHQ4_1_Several days,0.0035037471572570865,0.00023546472001367833
WCRex2_Not very much confidence,0.0034340426543400028,0.00026548919167798576
PHQ4_2_Several days,0.003428455180899814,0.00016302003421290838
PHQ4_4_Several days,0.00342796126059568,0.0001740702451900623
WCRex1_Very badly,0.0034278223455101674,0.00025477635579113696
PHQ4_2_Nearly every day,0.0028130613520018,0.00020909552553106275
employment_status_Not working,0.002422401261472412,0.00011436564640983239
PHQ4_1_Nearly every day,0.002285585337234852,0.00018439385894936268
employment_status_Unemployed,0.0022390333485727667,0.00022601797846605076
PHQ4_4_Nearly every day,0.0018504106792977982,0.0001516206556419045
WCRex2_No confidence at all,0.0018329536835495098,0.0001104953628950892
PHQ4_3_Nearly every day,0.001549829304229844,0.00011089168686288271
PHQ4_2_N/A,0.0014978904972511198,7.200943106796929e-05
PHQ4_3_N/A,0.001421193935029008,8.730244407503736e-05
PHQ4_4_N/A,0.0013646554952183477,7.254114724199412e-05
PHQ4_1_N/A,0.0013627569890494406,7.31808618840255e-05
WCRex2_Don't know,0.0007188392625893048,5.2655276555305434e-05
i11_health_Somewhat unwilling,0.0006872746681549302,4.871923524619647e-05
d1_comorbidities_Prefer_not_to_say,0.00020983895419779408,2.335146565044587e-05
i11_health_Not sure,0.00017540344799588103,2.045114878470439e-05
PHQ4_4_Prefer not to say,0.00014215643752567563,1.2345885106452772e-05
PHQ4_3_Prefer not to say,7.59865517848901e-05,9.89396148881483e-06
i11_health_Very unwilling,7.541545643324765e-05,8.653478640210898e-05
PHQ4_1_Prefer not to say,6.742012151048638e-05,1.499418822495194e-05
PHQ4_2_Prefer not to say,3.977601949005094e-05,1.0471843493315957e-05
