feature,importance,importance_std
i2_health,0.1211853988028055,0.004715537599133722
r1_1,0.0664080793787167,0.004535975376249843
age,0.06357135787806818,0.002237745716811278
week_number,0.058012555943015395,0.003180750294450533
cantril_ladder,0.03251243802047367,0.0022400904969508404
r1_2,0.021987184346624937,0.0019425373593132888
household_size,0.017265018277994044,0.001746179634072174
i11_health_Very willing,0.017067217252629458,0.0018856356738631106
gender_Male,0.008815131146712596,0.0008983789136743306
i9_health_Yes,0.008381467489878402,0.0016339545796036161
PHQ4_3_Not at all,0.007625412026976225,0.0010460871186863487
employment_status_Not working,0.005626484560570161,0.0006273626433249292
employment_status_Part time employment,0.005521758112790176,0.0008058868802613045
d1_comorbidities_No,0.005493277713201216,0.0005185820814980348
PHQ4_1_Not at all,0.005412679761684236,0.0007055715322823898
WCRex1_Very well,0.004500324286989837,0.0005910188607513672
i9_health_Not sure,0.00449972765508228,0.0009042031780296565
WCRex2_Not very much confidence,0.004011086122763069,0.0005726139465884015
d1_comorbidities_Yes,0.0038029317790020055,0.00048409369246262473
i11_health_Somewhat willing,0.0032993393529983763,0.00048821429764625107
WCRex2_A lot of confidence,0.0032623832707221524,0.0006842377457654139
employment_status_Unemployed,0.0030074810622014057,0.0005145527774095815
WCRex1_Very badly,0.0027977123026904026,0.0004099506383989322
WCRex1_Somewhat well,0.0027069891567416183,0.0004433827148175424
WCRex2_No confidence at all,0.002693442102839766,0.0003580351475335323
PHQ4_3_Nearly every day,0.002671928258171824,0.0005801482933676491
PHQ4_2_Several days,0.0026649792512480784,0.0004187144307246651
PHQ4_4_Several days,0.002593664190293338,0.00041003423527405337
WCRex2_Don't know,0.002164861328706358,0.0004480123014433536
employment_status_Retired,0.002154437818320759,0.00044188359103920977
PHQ4_2_Not at all,0.0020952659714852605,0.0003254086137739483
PHQ4_1_Several days,0.0019436512749673284,0.0004222346276474729
PHQ4_4_Not at all,0.0019280335573862606,0.0003678298393159204
WCRex1_Somewhat badly,0.001863737695344364,0.00021127061143747831
PHQ4_1_Nearly every day,0.001807233144095788,0.000544418966056128
i11_health_Somewhat unwilling,0.0015918841214490498,0.00035170458758442403
PHQ4_3_Several days,0.0014450424801918937,0.0002992567852628087
i11_health_Not sure,0.0014158075167198137,0.0005919390563550676
PHQ4_2_Nearly every day,0.0013272252264394323,0.0002668226645808309
d1_comorbidities_Prefer_not_to_say,0.0011323722646182643,0.0002227076751858716
i11_health_Very unwilling,0.0011190006906892313,0.0003071356821221644
PHQ4_3_Prefer not to say,0.0010755167534240162,0.00022531692743535904
PHQ4_2_Prefer not to say,0.0006615594975377559,0.0002318268836534696
PHQ4_3_N/A,0.0005434614758287659,0.00014725601388823143
PHQ4_4_Prefer not to say,0.0005303355738617177,0.0001654519844943034
PHQ4_1_N/A,0.0005022236822156912,0.00013258586732460862
PHQ4_2_N/A,0.000477165142096736,0.0001824262114754716
PHQ4_4_N/A,0.00044494701908667225,0.00018829894325962998
PHQ4_4_Nearly every day,0.000314811071242127,0.0003488788652777785
PHQ4_1_Prefer not to say,0.0002496027133416012,0.0001296585693601192
