feature,importance,importance_std
week_number,0.11457419902333432,0.003972635798957967
i2_health,0.08115724138101349,0.004301308047170894
r1_1,0.05012970810236127,0.0043579409590081145
age,0.03542799274801513,0.0015809861191383888
i11_health_Very willing,0.024394106419451306,0.002564520032084995
cantril_ladder,0.01860845517472585,0.0013645517694501404
r1_2,0.011872223434727974,0.0008246545825188939
household_size,0.011538487659246843,0.0009751375687620228
i9_health_Yes,0.008498686017640972,0.0013284459932150295
i11_health_Somewhat willing,0.005501870877501902,0.0006014900070658472
gender_Male,0.004447073198062951,0.0005269226377053503
employment_status_Unemployed,0.004023212402091886,0.0005527196591805463
employment_status_Retired,0.0038180348207640102,0.0008304956967774843
WCRex1_Very badly,0.003006948223877981,0.00044653833627564515
WCRex1_Very well,0.0029523623127694796,0.0004451880276219886
i9_health_Not sure,0.002931625377501751,0.0005348449802408644
employment_status_Part time employment,0.0027189000765267756,0.00028294493190849653
WCRex2_A lot of confidence,0.002569952234819578,0.00037636254851017645
PHQ4_3_Several days,0.002409651943622704,0.0003442786478225702
PHQ4_1_Several days,0.0022504706906147976,0.0002698756441807882
WCRex2_Not very much confidence,0.002167831649733948,0.00033635779877741364
PHQ4_4_Not at all,0.0021524275102495715,0.00035844736527103224
WCRex1_Somewhat well,0.002115028482223008,0.00031177313815090673
d1_comorbidities_No,0.0020144308077850227,0.00036312489263316095
WCRex2_No confidence at all,0.0020022911728106605,0.0003147463728549051
d1_comorbidities_Yes,0.0019952528084771657,0.00030534023143043637
employment_status_Not working,0.0019847878720338887,0.0005156201033192953
WCRex1_Somewhat badly,0.0019431442163939272,0.00027504463073710334
PHQ4_2_Several days,0.0018571866484697885,0.00030462193574154115
PHQ4_4_Several days,0.0017319624163692593,0.00021887806781993837
PHQ4_1_Nearly every day,0.0015422044095352416,0.0004508137298583267
d1_comorbidities_Prefer_not_to_say,0.0014392220261290056,0.0003119811939986691
PHQ4_4_Nearly every day,0.0013523074876157226,0.00019043422423572977
PHQ4_2_Not at all,0.0012583700197784098,0.00020597745253293513
WCRex2_Don't know,0.0011654049575398062,0.00021719412658466236
PHQ4_4_Prefer not to say,0.0010664974166424202,0.00018572196206377052
PHQ4_3_Nearly every day,0.0009618789222288649,0.0002836255281561316
PHQ4_3_Not at all,0.0009399843612483749,0.00020652748396539185
i11_health_Very unwilling,0.000848292687293789,0.0002475284610606758
i11_health_Somewhat unwilling,0.0008330428979044846,0.00013640383368261345
PHQ4_2_Nearly every day,0.0008080304650043502,0.00024043768563165112
PHQ4_1_Not at all,0.0005240648776667245,0.00017773618929264588
PHQ4_1_N/A,0.000486542369564108,0.00013233588296860784
PHQ4_1_Prefer not to say,0.0003786053481072693,7.953212580479766e-05
i11_health_Not sure,0.0003770927171759697,9.274411466381847e-05
PHQ4_4_N/A,0.0003214649429259364,9.840528664247345e-05
PHQ4_3_Prefer not to say,0.0002577800937151764,0.00011594047124036348
PHQ4_2_Prefer not to say,0.00018659382988580052,0.00015666047941303125
PHQ4_2_N/A,0.00016081736401524216,0.00010570259077064655
PHQ4_3_N/A,0.0001272307833359798,6.023746747875654e-05
